"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I1","Victoria  (Hanover)","Queen of England","F",1819,1901,"5.5","4",36.5229694749084,950.374624025754
"I2","Albert Augustus Charles","Prince","M",1819,1861,"5.5","4",47.3966887177566,946.274813260248
"I3","Victoria Adelaide Mary","Princess Royal","F",1840,1901,"8","4",225.15634404987,912.366017600918
"I4","Edward VII  (Wettin)","King of England","M",1841,1910,"5.5","3",-24.5329081961309,912.261734128222
"I5","Alice Maud Mary","Princess","F",1843,1878,"6","4",87.6121264771078,900.913373328865
"I6","Alfred Ernest Albert","Prince","M",1844,1900,"5.5","5",55.6921970932237,895.652326347044
"I7","Helena Augusta Victoria","Princess","F",1846,1923,"5.5","5",-34.2272943501331,908.42314212789
"I8","Louise Caroline Alberta","Princess","F",1848,1939,"5.5","5",-12.5995945230492,905.705938888698
"I9","Arthur William Patrick","Prince","M",1850,1942,"5.5","3",-26.0243988610024,884.292191332288
"I10","Leopold George Duncan","Prince","M",1853,1884,"5.5","5",32.5133486773078,881.010190088245
"I11","Beatrice Mary Victoria","Princess","F",1857,1944,"8","4",201.087793175721,864.893091798782
"I12","Alexandra of Denmark ""Alix""","Princess","F",1844,1925,"5.5","3",-32.3659426410253,900.100947019442
"I13","Albert Victor Christian","Duke","M",1864,1892,"5.5","4",-60.3159694147791,858.328938410612
"I14","George V  (Windsor)","King of England","M",1865,1936,"6","2",54.9835607755515,830.700260307722
"I15","Louise Victoria Alexandra","Princess Royal","F",1867,1931,"5.5","4",-70.7290383620706,841.535052280423
"I16","Victoria Alexandra Olga","","F",1868,1935,"5.5","4",-31.8878890971613,843.035867422029
"I17","Maude Charlotte Mary","Princess","F",1869,1938,"5","2",-94.101006439488,831.779573506705
"I18","John Alexander","","M",1871,1871,"5.5","4",-53.6166103219171,837.763478438521
"I19","George Victor of Waldeck","Prince","M",1831,1889,"9","5",249.116696401878,927.940889228357
"I20","Frederick III ","German Emperor","M",1831,1888,"8","4",261.636348965438,924.186796484414
"I21","William II ","German Emperor","M",1859,1941,"8","4",308.865810164311,857.677493694968
"I22","Louis IV of Hesse","Grand Duke","M",1837,1892,"6","4",97.5796878033218,909.782549694663
"I23","Helena Frederica of Waldeck","Princess","F",1861,1922,"6.2","6",123.824206413695,862.977354524819
"I24","Alice of Athlone","Princess","F",1883,1981,"6","5",114.335269785058,785.950340415921
"I25","Henry Maurice of Battenberg","Prince","M",1858,1896,"8","4",236.776068132232,868.088254884569
"I26","Alexander of Carisbrooke","Marquess","M",1886,1960,"8","5",256.363432302731,771.979840721081
"I27","Victoria Eugenie ""Ena""","Queen of Spain","F",1887,1969,"8","3",273.050350018039,760.975810549766
"I28","Leopold ","","M",1889,1922,"8","5",237.041716349084,775.993952154979
"I29","Maurice ","Prince","M",1891,1914,"8","5",230.143768944376,765.889936631895
"I30","Mary of Teck (May)","Queen","F",1867,1953,"6","2",84.6762423593357,823.97791757621
"I31","Edward VIII  (Windsor)","Duke of Windsor","M",1894,1972,"6","3",78.6393959863129,751.414008826473
"I32","George VI  (Windsor)","King of England","M",1895,1952,"6","1",82.1177313653542,732.911361446649
